,Also in new,Time_EST,action,Reason for difference,Order,lot size,Price,S/L,TP,Profit,Balance,entry,profit,Drawdown
10/16/2023 11:45,TRUE,10/16/2023 4:45,buy,,1,7,1.05364,1.05254,0,0,100000,,0,0
10/16/2023 12:00,TRUE,10/16/2023 5:00,modify,,1,7,1.05364,1.05294,0,0,100000,,0,0
10/16/2023 12:45,TRUE,10/16/2023 5:45,close,in backtesting as well,1,7,1.05377,1.05294,0,91,100091,Closing Buy Ticket: 3 bar rule Ticket #: 1,91,0
10/16/2023 13:30,,10/16/2023 6:30,buy,,2,7,1.05311,1.05201,0,0,100091,,0,0
10/16/2023 13:45,,10/16/2023 6:45,modify,,2,7,1.05311,1.0523,0,0,100091,,0,0
10/16/2023 14:15,,10/16/2023 7:15,close,"Extremely strict, I didn't even notice this because the lines were so close together",2,7,1.05283,1.0523,0,-196,99895,Closing Buy Ticket: PSAR flip Ticket #: 2,0,-196
10/16/2023 17:00,TRUE,10/16/2023 10:00,sell,,3,7,1.05298,1.05408,0,0,99895,,0,0
10/16/2023 17:30,TRUE,10/16/2023 10:30,close,SMI started going the opposite direction,3,7,1.05395,1.05408,0,-679,99216,Closing Sell Ticket: SMI crossing above -40 Ticket #: 3,0,-679
10/16/2023 18:30,TRUE,10/16/2023 11:30,buy,,4,7,1.05458,1.05348,0,0,99216,,0,0
10/16/2023 18:45,TRUE,10/16/2023 11:45,modify,,4,7,1.05458,1.05379,0,0,99216,,0,0
10/16/2023 19:00,TRUE,10/16/2023 12:00,close,In backtesting I used the rule that you had to wait for psar to switch before making a new trade,4,7,1.05446,1.05379,0,-84,99132,Closing Buy Ticket: SMI crossing below 40 Ticket #: 4,0,-84
10/16/2023 19:30,,10/16/2023 12:30,buy,,5,7,1.05446,1.05336,0,0,99132,,0,0
10/16/2023 19:45,,10/16/2023 12:45,modify,,5,7,1.05446,1.0535,0,0,99132,,0,0
10/16/2023 20:00,,10/16/2023 13:00,modify,,5,7,1.05446,1.05362,0,0,99132,,0,0
10/16/2023 20:15,,10/16/2023 13:15,modify,,5,7,1.05446,1.05388,0,0,99132,,0,0
10/16/2023 20:45,,10/16/2023 13:45,modify,,5,7,1.05446,1.05394,0,0,99132,,0,0
10/16/2023 21:00,,10/16/2023 14:00,modify,,5,7,1.05446,1.05439,0,0,99132,,0,0
10/16/2023 21:15,,10/16/2023 14:15,modify,,5,7,1.05446,1.05444,0,0,99132,,0,0
10/16/2023 22:15,,10/16/2023 15:15,modify,,5,7,1.05446,1.05468,0,0,99132,,0,0
10/16/2023 22:30,,10/16/2023 15:30,modify,,5,7,1.05446,1.05506,0,0,99132,,0,0
10/16/2023 23:00,,10/16/2023 16:00,modify,,5,7,1.05446,1.05517,0,0,99132,,0,0
10/16/2023 23:45,,10/16/2023 16:45,close,In backtesting I used the rule that you had to wait for psar to switch before making a new trade,5,7,1.05586,1.05517,0,980,100112,Closing Buy Ticket: 3 bar rule Ticket #: 5,980,0
10/17/2023 10:00,,10/17/2023 3:00,sell,,6,7,1.0537,1.0548,0,0,100112,,0,0
10/17/2023 10:09,,10/17/2023 3:09,s/l,backtesting started at 4,6,7,1.0548,1.0548,0,-770,99342,stoploss,0,-770
10/17/2023 11:45,TRUE,10/17/2023 4:45,sell,,7,7,1.05352,1.05462,0,0,99342,,0,0
